대원식당,1435,부천시청,3.4,1
대장군돼지부속,None,화랑대,0,0
대청마루,6439,역곡,3.5,0.6
대추나무칼국수,66,잠실나루,3.4,0.333333333
대풍원,140,직산,0,12345
대한곱창,6946,회현,4,0.5
대한닭발1979,1149,태릉입구,3.1,0.666666667
대호갈비,221,신사,4.5,0.147058824
대흥식당,1650,신금호,0,12345
댓짱돈까스,3482,신중동,3.9,0.285714286
더466키친,1125,대방,0,0.333333333
더국물,320,양천향교,0,0.5
더데이지,866,오산,0,0
더두툼생고기,42,당고개,0,12345
더라운지,12940,망원,4.8,0.113207547
더라이브러리,14118,당산,4,0.333333333
더맛있는김밥,37,신길온천,0,12345
더미,3638,지제,0,12345
더미디움,373,돌곶이,0,1
더밸리,130,광나루,0,0.666666667
더버뮤다,9341,독산,0,0.333333333
더베이크하우스,16,도원,0,1
더브라운,9094,마두,3.3,1.666666667
더블랙,3207,독바위,0,12345
더블트러블,22928,관악,0,12345
더비스킷카페,375,대림,0,1
더소야소,71,오산대,0,12345
더스토리지,272,용마산,0,0
더스토리피자,7,성환,0,12345
더스푼,2950,반월,0,1
더식당,16826,독립문,4.4,0.3125
더아이스크림앤모어,138,용두,0,1
더웨스트햄릿,58,문래,3.6,0.333333333
더은교,2800,역삼,4.5,0.307692308
더제이케이키친,1209,직산,0,12345
더제이케이키친박스,1209,샛강,4.1,0.272727273
더족발,1630,개화산,0,12345
더치480,2048,삼송,0,12345
더카페,10309,삼각지,3.7,0.1
더코너키친,2885,부개,0,0
더테이블,23573,아현,0,12345
더파크뷰,26912,신창,0,12345
더플레이스,45680,도림천,0,12345
더플롯커피,742,세류,0,0.333333333
더한스아리아,68,군자,4,0.333333333
더함한우골,346,장한평,3.8,0.75
더핸드,613,종합운동장,0,1
더후라이팬,4496,오산,0,0
더히든키친,1564,방배,3.8,0.444444444
덕일집,57,강변,3.9,0.384615385
덕정갈비,3,부천,3.9,0.142857143
덕화원,665,이대,4.4,0.346938776
던모스,1614,상일동,0,0
덩어리,14171,동대문,3.7,0.421052632
데브짱,785,동대입구,4.6,0.24137931
데블스도어,55027,서정리,0,0
데일리로스트커피,1580,종각,4.7,0.086956522
데일리파크,678,광화문,4.7,0.086956522
델리하노이,10,고잔,0,0
도깨비곱창,147,도봉산,0,0
도네누,7028,녹사평,4.4,0.411764706
도담바지락칼국수,11,봉은사,4.3,0
도동집,4814,대치,3.6,0.75
도레도레,194666,발산,3.7,0.333333333
도르리,859,강남,4.4,0.419117647
도리연닭도리탕,608,신논현,4.4,0.419117647
도림,5947,금천구청,0,12345
도미노피자,208384,부평구청,0,0
도봉산갈비,157,굴포천,0,0
도봉산양고기,275,용답,0,1
도셰프,2748,성환,0,12345
도원,11224,서대문,4.2,0
도일로60.15,None,산본,3.4,0.428571429
도일처,645,정발산,4.4,0.310344828
도치피자,11714,낙성대,4.6,0.326732673
도쿄등심,55365,청담,3.8,0.833333333
도쿄등심블루,22,문래,3.7,0.2
도쿄식당,3601,가양,0,0
도쿄야네,183,회룡,0,0
도쿄팡야,21505,수리산,0,12345
도쿄하나,6874,옥수,4.4,0.25
도화원,242,고려대,3.5,0.2
독,41451,동대입구,4.6,0.282051282
독도수산,767,장지,3.2,4
독바위바지락칼국수,2,가양,0,0.5
독바위칼국수,30,올림픽공원,0,0.5
독수리다방,3766,영등포구청,0,0.2
독일주택,16990,영등포구청,0,0
독천낙지골,128,충정로,0,1
돈가네곱창,26,부평구청,4.3,0.363636364
돈가래,331,양평,0,0
돈까스갤러리,300,덕정,0,0
돈까스먹는용만이,1447,덕정,0,2
돈까스클럽,20782,태릉입구,0,1
돈돈,77926,화랑대,0,1
돈박,12394,창동,0,0.666666667
돈부리,73460,개롱,0,0.333333333
돈우마루,9,고속터미널,4.2,0.777777778
돈치앤,53,광명,0,12345
돈키,102640,봉화산,0,2.5
돌로미티아이스크림,None,마포구청,4.2,0
동경통닭,939,월드컵경기장,4.2,0
동그라미곱창,403,신반포,4.2,0.090909091
동네스시집,574,금호,0,0
동네아저씨치킨,1899,구일,0,2
동다송,124,목동,2.8,2.666666667
동대닭한마리,395,중화,0,12345
동문각,5,직산,0,0
동방미식성,179,관악,0,12345
동보성,3450,보라매,0,0.2
동북화과왕,1219,구파발,0,2
동빙고,9285,부천시청,3.5,1
동산떡집,None,석수,0,12345
동순원,531,상계,0,0
동신면가,294,을지로입구,4.4,0.1
동원집,4197,관악,0,1
동적불고기,1304,도봉산,0,12345
동천골,70,도봉산,4.3,0
동촌보리밥돈까스,36,논현,4.3,0.384615385
동해해물탕,2893,시청,3.9,0.125
동화마을잔칫날,101,안산,0,0
동흥관,655,신길온천,0,0
돼지미학,534,공항시장,3.9,0.142857143
두끼,74215,동대입구,4.2,0.44
두들커피로스터리,244,선릉,4.5,0.189189189
두만강샤브샤브,500,잠실,4.4,0.277777778
두메골돌솥쌈밥,1,여의도,4.6,0.043478261
두원집,69,평택,0,0.5
두화당,5036,숭실대입구,3.4,1
뒷골면옥,5,구의,3.4,0.375
듁스커피,13721,가양,0,0.333333333
드럼통라갈비,2,영등포시장,0,0
드렁킨타이,2797,청량리,3.2,1.166666667
드레꽃,105,뚝섬유원지,4.1,0
드림독,650,독바위,0,12345
드웰디자인카페,142,덕정,0,1
들깨향장수밀,16,신촌,4.6,0.316666667
들녘,2683,혜화,4.5,0.37254902
들었다놨다참숯불닭갈비,260,오금,0,0
등촌샤브칼국수,6206,덕정,0,0
등촌최월선칼국수,128,한성대입구,4.1,0.111111111
디디치킨,9821,가능,0,1
디어브레드,9142,상계,3.4,1
디어테이블,1695,개봉,0,0
디오디아,2667,중앙,3.1,2
디저트39,46591,한양대,3,2
디저트카페바미,52,독립문,0,1
디퀸즈,4341,중계,4.4,0.178571429
